,id,price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,postal_code,state,city,tags,lat,lon,county,basement,big_bathroom,big_lot,big_yard,carport,cathedral_ceiling,central_air,city_view,community_boat_facilities,community_golf,community_outdoor_space,community_park,community_security_features,corner_lot,cul_de_sac,den_or_office,dining_room,dishwasher,elevator,ensuite,exposed_brick,family_room,farm,fenced_courtyard,fenced_yard,fireplace,fixer_upper,floor_plan,forced_air,front_porch,fruit_trees,furniture,game_room,garage_1_or_more,garage_2_or_more,garage_3_or_more,golf_course,golf_course_lot_or_frontage,golf_course_view,granite_kitchen,groundscare,high_ceiling,hill_or_mountain_view,horse_facilities,investment_opportunity,lake_view,large_porch,laundry_room,maintenance,marina,master_bathroom,master_bedroom,master_suite,new_construction,new_roof,open_floor_plan,pond,private_backyard,ranch,recreation_facilities,rental_property,river_view,shopping,single_story,smart_homes,spa_or_hot_tub,swimming_pool,trails,two_or_more_stories,updated_kitchen,vaulted_ceiling,view,views,washer_dryer,water_view,waterfront,wine_cellar,wooded_land
33,4795147381,169900,3.0,1,,1.0,single_family,9148.0,1080.0,1956.0,1911 Adams Dr,47250,IN,Madison,"['central_air', 'forced_air', 'recreation_facilities', 'single_story', 'new_roof', 'fixer_upper']",38.762538,-85.41613,Jefferson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,4074634351,189900,4.0,2,2.0,1.0,single_family,9897.0,1500.0,1900.0,847 W Third St,47250,IN,Madison,"['central_air', 'community_outdoor_space', 'dining_room', 'forced_air', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'front_porch', 'trails']",38.740116,-85.395714,Jefferson,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,9239799310,845000,0.0,0,2.0,,farm,2640956.0,,,2998 N Rykers Ridge Rd,47250,IN,Madison,"['horse_facilities', 'garage_1_or_more', 'garage_2_or_more', 'fruit_trees', 'farm']",38.764684,-85.32641,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4477275556,460000,4.0,3,3.0,2.0,single_family,17424.0,4895.0,1898.0,716 West St,47250,IN,Madison,"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'den_or_office', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'game_room', 'laundry_room', 'recreation_facilities', 'view', 'washer_dryer', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'garage_3_or_more', 'high_ceiling', 'front_porch', 'fenced_courtyard', 'groundscare']",38.740666,-85.379935,Jefferson,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
37,4778303175,225000,3.0,3,1.0,1.0,single_family,16988.0,3296.0,1960.0,2121 Lanier Dr,47250,IN,Madison,"['central_air', 'community_outdoor_space', 'dining_room', 'dishwasher', 'fireplace', 'forced_air', 'basement', 'single_story', 'garage_1_or_more', 'updated_kitchen', 'new_roof']",38.7666,-85.411055,Jefferson,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,3195660937,459000,3.0,2,2.0,1.0,single_family,82328.0,2150.0,1971.0,122 S Cedar Cliff Dr,47250,IN,Madison,"['central_air', 'community_outdoor_space', 'family_room', 'forced_air', 'spa_or_hot_tub', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'views']",38.736303,-85.34603,Jefferson,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
39,4785923158,182900,2.0,2,,2.0,single_family,2178.0,1320.0,1900.0,416 E 4th St,47250,IN,Madison,"['central_air', 'community_outdoor_space', 'dining_room', 'fireplace', 'forced_air', 'laundry_room', 'basement', 'two_or_more_stories', 'master_bedroom']",38.738418,-85.374785,Jefferson,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,4096740637,399900,4.0,3,2.0,1.0,single_family,115434.0,2918.0,1965.0,1755 E Dugan Hollow Rd,47250,IN,Madison,"['central_air', 'community_outdoor_space', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'view', 'washer_dryer', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'updated_kitchen', 'big_lot', 'farm']",38.75597,-85.355871,Jefferson,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
41,4071056820,230000,3.0,2,2.0,1.0,single_family,8973.0,1572.0,1993.0,325 Hillcrest Dr,47250,IN,Madison,"['central_air', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'den_or_office', 'dining_room', 'dishwasher', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'cathedral_ceiling', 'open_floor_plan', 'floor_plan', 'front_porch', 'big_lot', 'ensuite', 'farm', 'ranch']",38.75463,-85.39559,Jefferson,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4078659073,45000,2.0,1,,2.0,single_family,3049.0,1140.0,1900.0,920 Walnut St,47250,IN,Madison,"['central_air', 'community_outdoor_space', 'family_room', 'fireplace', 'forced_air', 'laundry_room', 'two_or_more_stories']",38.741706,-85.37545,Jefferson,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
