,id,price,beds,baths,garage,stories,house_type,lot_sqft,sqft,year_built,address,postal_code,state,city,tags,lat,lon,county,basement,big_lot,big_yard,carport,cathedral_ceiling,central_air,city_view,clubhouse,community_gym,community_outdoor_space,community_park,community_security_features,corner_lot,cul_de_sac,den_or_office,dining_room,disability_features,dishwasher,efficient,elevator,ensuite,family_room,farm,fenced_yard,fireplace,first_floor_master_bedroom,fixer_upper,floor_plan,forced_air,front_porch,garage_1_or_more,garage_2_or_more,garage_3_or_more,granite_kitchen,groundscare,hardwood_floors,high_ceiling,hoa,investment_opportunity,lake,laundry_room,master_bathroom,master_bedroom,master_suite,medicalcare,modern_kitchen,new_construction,new_roof,no_hoa,open_floor_plan,open_kitchen,park,pets_allowed,playground,private_backyard,private_bathroom,private_parking,ranch,recreation_facilities,rental_property,shopping,single_story,solar_panels,solar_system,spa_or_hot_tub,swimming_pool,two_or_more_stories,updated_kitchen,vaulted_ceiling,view,views,washer_dryer,water_view,white_kitchen
10,6919612297,350000,4.0,3,2.0,,single_family,4356.0,1228.0,1950.0,1232 Clark St,07065,NJ,Rahway,"['pets_allowed', 'basement', 'garage_1_or_more', 'garage_2_or_more']",40.597053,-74.266637,Union,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6767921171,312000,1.0,1,1.0,,condos,,,2008.0,1 Carriage City Plz Apt 903,07065,NJ,Rahway,"['community_gym', 'community_outdoor_space', 'dishwasher', 'pets_allowed', 'recreation_facilities', 'washer_dryer', 'garage_1_or_more', 'master_bedroom']",40.606249,-74.275544,Union,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,5551052567,449900,3.0,2,1.0,2.0,single_family,4356.0,,1960.0,130 Jensen Ave,07065,NJ,Rahway,"['central_air', 'community_outdoor_space', 'forced_air', 'basement', 'two_or_more_stories', 'garage_1_or_more']",40.598608,-74.299585,Union,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,6710880495,350000,4.0,2,1.0,,single_family,4356.0,,1957.0,821 E Milton Ave,07065,NJ,Rahway,"['central_air', 'community_park', 'dining_room', 'forced_air', 'hardwood_floors', 'laundry_room', 'pets_allowed', 'recreation_facilities', 'washer_dryer', 'basement', 'garage_1_or_more', 'private_backyard', 'fenced_yard', 'shopping']",40.604878,-74.259042,Union,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
14,6118440144,520000,4.0,3,1.0,,single_family,4356.0,,2017.0,846 Main St,07065,NJ,Rahway,"['central_air', 'dining_room', 'hardwood_floors', 'garage_1_or_more', 'solar_system', 'solar_panels']",40.597358,-74.277884,Union,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
15,5736766488,699900,8.0,6,,2.0,multi_family,,,,1270 Fulton St,07065,NJ,Rahway,"['dining_room', 'basement', 'two_or_more_stories', 'rental_property']",40.605007,-74.27756,Union,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,6022224771,400000,3.0,2,1.0,2.0,single_family,4356.0,,1953.0,392 Lower Alden Dr,07065,NJ,Rahway,"['central_air', 'community_outdoor_space', 'dining_room', 'dishwasher', 'family_room', 'forced_air', 'hardwood_floors', 'laundry_room', 'pets_allowed', 'washer_dryer', 'two_or_more_stories', 'garage_1_or_more', 'granite_kitchen', 'updated_kitchen', 'fenced_yard']",40.620513,-74.270401,Union,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
17,5890158123,346000,4.0,2,,,single_family,4356.0,,1750.0,915 Westfield Ave,07065,NJ,Rahway,"['central_air', 'forced_air', 'basement', 'modern_kitchen', 'open_kitchen', 'big_yard', 'private_backyard', 'fenced_yard']",40.616485,-74.287452,Union,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5757412984,399900,4.0,2,1.0,,single_family,4356.0,,1949.0,359 Linden Ave,07065,NJ,Rahway,"['dining_room', 'family_room', 'fireplace', 'hardwood_floors', 'basement', 'garage_1_or_more', 'master_bedroom']",40.617261,-74.273099,Union,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9625015680,659000,6.0,5,,,multi_family,4356.0,19998.0,,1789-1793 Newton St,07065,NJ,Rahway,"['dining_room', 'basement', 'updated_kitchen', 'rental_property', 'investment_opportunity', 'shopping']",40.613304,-74.275844,Union,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
